Id medidor,Nombre Equipo,Fecha,KiloWattHora Fase 1,KiloWattHora Fase 2,KiloWattHora Fase 3,KiloWattHora Totales,KiloVoltAmpereReactivoHora Fase 1,KiloVoltAmpereReactivoHora Fase 2,KiloVoltAmpereReactivoHora Fase 3,KiloVoltAmpereReactivoHora Totales,KiloVoltAmpereHora Fase 1 ,KiloVoltAmpereHora Fase 2 ,KiloVoltAmpereHora Fase 3 ,KiloVoltAmpereHora Totales,Voltaje Fase 1 ,Voltaje Fase 2 ,Voltaje Fase 3,Corriente Fase 1 ,Corriente Fase 2 ,Corriente Fase 3 ,KiloWatts Fase 1,KiloWatts Fase 2 ,KiloWatts Fase 3 ,KiloWatts Totales,KiloVoltAmpereReactivo Fase 1 ,KiloVoltAmpereReactivo Fase 2 ,KiloVoltAmpereReactivo Fase 3 ,KiloVoltAmperesReactivo Totales,KiloVoltAmpere Fase 1 , KiloVoltAmpere Fase 2 ,KiloVoltAmpere Fase 3 ,KiloVoltAmpere Totales,Factor de Potencia Fase 1 ,Factor de Potencia Fase 2 , Factor de Potencia Fase 3,Factor de Potencia Total,Frecuencia Fase,kW import sliding window demand,kvar impor sliding window demand,kVA sliding window demand
912207,PM130EH,Wed Jun 26 00:01:44 CDT 2013,2653.0,1690.0,2142.0,14137.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3639.0,19330.0,128.5,128.3,129.3,0.94,0.56,4.16,0.116,0.057,0.312,0.483,0.021,-0.037,0.437,0.423,0.118,0.068,0.537,0.642,0.983,-0.836,0.581,0.753,60.01,0.896,0.748,1.167
912207,PM130EH,Wed Jun 26 00:06:44 CDT 2013,2653.0,1690.0,2142.0,14137.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19330.0,128.1,127.9,129.4,0.94,0.57,4.16,0.115,0.056,0.313,0.488,0.021,-0.041,0.437,0.419,0.117,0.069,0.538,0.644,0.984,-0.802,0.582,0.759,59.95,0.896,0.748,1.167
912207,PM130EH,Wed Jun 26 00:11:43 CDT 2013,2653.0,1690.0,2142.0,14137.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19330.0,128.5,129.3,128.8,0.94,0.56,4.12,0.118,0.057,0.309,0.483,0.021,-0.037,0.431,0.415,0.119,0.068,0.53,0.637,0.985,-0.84,0.583,0.759,60.0,0.484,0.416,0.639
912207,PM130EH,Wed Jun 26 00:16:44 CDT 2013,2653.0,1690.0,2142.0,14137.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19330.0,127.7,129.2,129.3,8.2,0.56,4.18,0.834,0.056,0.314,1.206,0.628,-0.037,0.439,1.03,1.044,0.067,0.539,1.586,0.799,-0.835,0.582,0.761,59.99,0.484,0.416,0.639
912207,PM130EH,Wed Jun 26 00:21:44 CDT 2013,2654.0002,1690.0,2142.0,14138.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19330.0,128.2,128.6,129.7,8.17,0.56,4.21,0.838,0.056,0.32,1.21,0.623,-0.038,0.442,1.03,1.044,0.067,0.545,1.589,0.802,-0.831,0.587,0.762,60.03,0.484,0.416,0.639
912207,PM130EH,Wed Jun 26 00:26:43 CDT 2013,2654.0002,1690.0,2142.0,14138.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19331.0,127.9,129.5,129.2,8.15,0.57,4.19,0.838,0.056,0.318,1.213,0.615,-0.039,0.437,1.01,1.04,0.069,0.54,1.578,0.806,-0.819,0.589,0.769,60.02,0.921,0.719,1.176
912207,PM130EH,Wed Jun 26 00:31:44 CDT 2013,2654.0002,1690.0,2142.0,14138.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19331.0,127.8,129.2,129.1,8.13,0.56,4.16,0.836,0.057,0.315,1.206,0.611,-0.037,0.435,1.01,1.036,0.068,0.537,1.573,0.807,-0.836,0.586,0.767,60.04,0.921,0.719,1.176
912207,PM130EH,Wed Jun 26 00:36:43 CDT 2013,2654.0002,1690.0,2142.0,14138.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19331.0,128.5,128.2,129.4,0.93,0.56,4.14,0.116,0.055,0.304,0.476,0.022,-0.04,0.44,0.422,0.118,0.068,0.535,0.636,0.983,-0.813,0.569,0.749,59.97,0.921,0.719,1.176
912207,PM130EH,Wed Jun 26 00:41:44 CDT 2013,2654.0002,1690.0,2142.0,14138.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19331.0,128.6,128.8,129.1,0.94,0.57,4.15,0.116,0.053,0.309,0.472,0.021,-0.041,0.437,0.413,0.118,0.067,0.535,0.627,0.983,-0.791,0.578,0.752,60.0,1.042,0.874,1.36
912207,PM130EH,Wed Jun 26 00:46:44 CDT 2013,2654.0002,1690.0,2142.0,14138.0,1768.0,293.0,2712.0,12498.0,3158.0002,1808.9999,3640.0,19331.0,128.8,129.3,128.8,0.94,0.55,4.13,0.116,0.055,0.306,0.476,0.022,-0.039,0.434,0.417,0.118,0.068,0.531,0.633,0.983,-0.818,0.575,0.752,59.99,1.042,0.874,1.36
