Id medidor,Nombre Equipo,Fecha,KiloWattHora Fase 1,KiloWattHora Fase 2,KiloWattHora Fase 3,KiloWattHora Totales,KiloVoltAmpereReactivoHora Fase 1,KiloVoltAmpereReactivoHora Fase 2,KiloVoltAmpereReactivoHora Fase 3,KiloVoltAmpereReactivoHora Totales,KiloVoltAmpereHora Fase 1 ,KiloVoltAmpereHora Fase 2 ,KiloVoltAmpereHora Fase 3 ,KiloVoltAmpereHora Totales,Voltaje Fase 1 ,Voltaje Fase 2 ,Voltaje Fase 3,Corriente Fase 1 ,Corriente Fase 2 ,Corriente Fase 3 ,KiloWatts Fase 1,KiloWatts Fase 2 ,KiloWatts Fase 3 ,KiloWatts Totales,KiloVoltAmpereReactivo Fase 1 ,KiloVoltAmpereReactivo Fase 2 ,KiloVoltAmpereReactivo Fase 3 ,KiloVoltAmperesReactivo Totales,KiloVoltAmpere Fase 1 , KiloVoltAmpere Fase 2 ,KiloVoltAmpere Fase 3 ,KiloVoltAmpere Totales,Factor de Potencia Fase 1 ,Factor de Potencia Fase 2 , Factor de Potencia Fase 3,Factor de Potencia Total,Frecuencia Fase,kW import sliding window demand,kvar impor sliding window demand,kVA sliding window demand
968118,PM130EH,Fri Jun 14 00:02:27 CDT 2013,46747.0,73977.01,41310.0,161947.98,3879.0,5934.0,20108.0,14439.999,58224.0,76322.0,53767.0,168187.0,265.0,263.0,262.0,39.66,31.37,24.86,9.0,8.0,5.0,22.0,-5.0,-1.0,-4.0,0.0,10.0,8.0,6.0,24.0,-0.877,-0.99,-0.784,-0.91,60.01,19.0,0.0,20.0
968118,PM130EH,Fri Jun 14 00:07:27 CDT 2013,46748.0,73978.0,41310.0,161950.0,3879.0,5934.0,20108.0,14439.999,58226.0,76322.0,53767.0,168189.0,264.0,262.0,261.0,39.29,30.82,24.58,9.0,8.0,5.0,22.0,-5.0,-1.0,-4.0,0.0,10.0,8.0,6.0,24.0,-0.878,-0.991,-0.779,-0.91,60.02,19.0,0.0,20.0
968118,PM130EH,Fri Jun 14 00:12:27 CDT 2013,46749.0,73979.0,41310.0,161953.0,3879.0,5934.0,20108.0,14439.999,58227.0,76324.0,53767.0,168192.0,265.0,263.0,262.0,67.54,56.83,51.55,16.0,14.0,11.0,41.0,-8.0,-4.0,-7.0,0.0,18.0,15.0,13.0,46.0,-0.892,-0.964,-0.838,-0.906,60.0,19.0,0.0,20.0
968118,PM130EH,Fri Jun 14 00:17:27 CDT 2013,46750.0,73981.0,41311.0,161956.0,3879.0,5934.0,20109.0,14439.999,58228.0,76327.0,53767.0,168196.0,264.0,262.0,262.0,81.75,70.2,69.93,21.0,18.0,18.0,58.0,-2.0,0.0,-4.0,0.0,22.0,18.0,18.0,58.0,-0.995,1.0,-0.978,-0.994,60.01,31.0,0.0,34.0
968118,PM130EH,Fri Jun 14 00:22:27 CDT 2013,46751.0,73983.0,41311.0,161960.0,3879.0,5934.0,20109.0,14439.999,58230.0,76328.0,53767.0,168199.0,265.0,263.0,262.0,68.57,58.14,52.31,16.0,15.0,12.0,42.0,-8.0,-4.0,-7.0,0.0,18.0,15.0,14.0,46.0,-0.89,-0.963,-0.839,-0.906,60.0,31.0,0.0,34.0
968118,PM130EH,Fri Jun 14 00:27:27 CDT 2013,46753.0,73983.0,41313.0,161963.0,3879.0,5934.0,20109.0,14439.999,58231.0,76330.0,53768.0,168203.0,265.0,263.0,263.0,67.46,56.7,51.56,16.0,14.0,11.0,42.0,-8.0,-4.0,-7.0,0.0,18.0,15.0,14.0,46.0,-0.893,-0.964,-0.839,-0.907,60.01,31.0,0.0,34.0
968118,PM130EH,Fri Jun 14 00:32:27 CDT 2013,46754.0,73983.0,41315.0,161967.0,3879.0,5934.0,20109.0,14439.999,58234.0,76330.0,53769.0,168207.0,265.0,263.0,262.0,67.69,56.95,51.47,16.0,14.0,11.0,42.0,-8.0,-4.0,-7.0,0.0,18.0,15.0,13.0,46.0,-0.891,-0.964,-0.838,-0.906,59.99,42.0,0.0,45.0
968118,PM130EH,Fri Jun 14 00:37:27 CDT 2013,46756.0,73984.0,41315.0,161969.0,3879.0,5934.0,20109.0,14439.999,58234.0,76332.0,53770.0,168210.0,266.0,264.0,264.0,21.47,13.0,13.09,5.0,3.0,2.0,11.0,-1.0,1.0,-2.0,0.0,6.0,3.0,3.0,11.0,-0.973,0.974,-0.712,-0.964,60.03,42.0,0.0,45.0
968118,PM130EH,Fri Jun 14 00:42:27 CDT 2013,46756.0,73985.0,41315.0,161970.0,3879.0,5934.0,20109.0,14439.999,58235.0,76332.0,53770.0,168211.0,266.0,264.0,264.0,21.4,13.02,13.21,5.0,3.0,2.0,11.0,-1.0,1.0,-2.0,0.0,6.0,3.0,3.0,11.0,-0.975,0.974,-0.729,-0.967,59.97,42.0,0.0,45.0
968118,PM130EH,Fri Jun 14 00:47:27 CDT 2013,46757.0,73985.0,41316.0,161972.0,3879.0,5934.0,20109.0,14439.999,58235.0,76333.0,53771.0,168213.0,265.0,262.0,262.0,78.59,72.76,63.33,21.0,19.0,16.0,56.0,-2.0,1.0,-2.0,0.0,21.0,19.0,17.0,56.0,-0.993,0.998,-0.992,-0.998,59.98,22.0,0.0,24.0
968118,PM130EH,Fri Jun 14 00:52:27 CDT 2013,46758.0,73987.0,41316.0,161975.0,3879.0,5934.0,20109.0,14439.999,58235.0,76336.0,53771.0,168216.0,266.0,263.0,263.0,39.43,31.13,24.59,9.0,8.0,5.0,22.0,-5.0,-1.0,-4.0,0.0,10.0,8.0,6.0,24.0,-0.88,-0.993,-0.788,-0.914,60.02,22.0,0.0,24.0
