Id medidor,Nombre Equipo,Fecha,KiloWattHora Fase 1,KiloWattHora Fase 2,KiloWattHora Fase 3,KiloWattHora Totales,KiloVoltAmpereReactivoHora Fase 1,KiloVoltAmpereReactivoHora Fase 2,KiloVoltAmpereReactivoHora Fase 3,KiloVoltAmpereReactivoHora Totales,KiloVoltAmpereHora Fase 1 ,KiloVoltAmpereHora Fase 2 ,KiloVoltAmpereHora Fase 3 ,KiloVoltAmpereHora Totales,Voltaje Fase 1 ,Voltaje Fase 2 ,Voltaje Fase 3,Corriente Fase 1 ,Corriente Fase 2 ,Corriente Fase 3 ,KiloWatts Fase 1,KiloWatts Fase 2 ,KiloWatts Fase 3 ,KiloWatts Totales,KiloVoltAmpereReactivo Fase 1 ,KiloVoltAmpereReactivo Fase 2 ,KiloVoltAmpereReactivo Fase 3 ,KiloVoltAmperesReactivo Totales,KiloVoltAmpere Fase 1 , KiloVoltAmpere Fase 2 ,KiloVoltAmpere Fase 3 ,KiloVoltAmpere Totales,Factor de Potencia Fase 1 ,Factor de Potencia Fase 2 , Factor de Potencia Fase 3,Factor de Potencia Total,Frecuencia Fase,kW import sliding window demand,kvar impor sliding window demand,kVA sliding window demand
968154,PM130EH,Thu Jun 27 00:02:28 CDT 2013,173910.0,208261.0,167386.0,549434.0,462094.0,455294.0,528308.0,1445663.0,538879.0,540547.0,598158.0,1659906.0,128.3,126.0,127.8,372.5,376.39,347.87003,45.38,42.425,41.563,138.288,14.799,21.129,15.474,51.783,47.731,47.394,44.35,147.664,0.951,0.895,0.937,0.937,59.97,135.736,47.54,143.89
968154,PM130EH,Thu Jun 27 00:07:28 CDT 2013,173913.0,208265.0,167389.0,549444.0,462096.0,455295.0,528309.0,1445667.0,538882.0,540550.0,598163.0,1659917.0,128.9,126.7,128.4,364.72998,376.3,335.24997,45.578,44.061,41.555,136.091,11.307,17.969,10.831,40.292,46.958,47.584,42.942,141.93,0.971,0.926,0.968,0.959,59.95,135.43501,50.721,144.714
968154,PM130EH,Thu Jun 27 00:12:28 CDT 2013,173917.0,208266.0,167395.0,549455.0,462097.0,455297.0,528309.0,1445671.0,538883.0,540554.0,598170.0,1659929.0,128.7,126.6,128.0,322.78,362.11002,352.59003,39.259,43.067,42.501,124.014,13.413,15.632,14.915,43.893,41.488,45.814,45.042,131.552,0.946,0.94,0.944,0.943,60.04,135.43501,50.721,144.714
968154,PM130EH,Thu Jun 27 00:17:28 CDT 2013,173920.0,208271.0,167398.0,549466.0,462097.0,455299.0,528311.0,1445675.0,538885.0,540561.0,598173.0,1659941.0,128.6,126.5,127.8,334.19,366.02,364.77,40.406,42.383,43.34,135.78899,14.559,18.603,16.983,50.563,42.947,46.285,46.547,144.89299,0.941,0.916,0.931,0.937,60.03,135.43501,50.721,144.714
968154,PM130EH,Thu Jun 27 00:22:28 CDT 2013,173925.0,208273.0,167402.0,549477.0,462097.0,455302.0,528313.0,1445679.0,538891.0,540564.0,598176.0,1659953.0,129.1,126.7,128.5,364.7,387.39,360.26,45.533,46.182,44.828,136.54301,11.745,16.455,11.152,39.352,47.022,49.024,46.194,142.09901,0.968,0.942,0.97,0.961,59.99,132.749,47.427,141.05
968154,PM130EH,Thu Jun 27 00:27:28 CDT 2013,173928.0,208276.0,167407.0,549488.0,462099.0,455302.0,528314.0,1445682.0,538895.0,540568.0,598179.0,1659964.0,129.0,126.9,128.4,349.23,361.33,338.37,42.989,41.903,41.257,126.148,13.337,18.528,13.378,45.242,45.008,45.816,43.371,134.016,0.955,0.915,0.951,0.941,60.05,132.749,47.427,141.05
968154,PM130EH,Thu Jun 27 00:32:28 CDT 2013,173932.0,208279.0,167411.0,549499.0,462100.0,455304.0,528315.0,1445686.0,538900.0,540572.0,598181.0,1659975.0,128.3,126.4,127.7,404.36,394.5,399.84998,49.067,45.924,48.288,143.279,16.782,19.388,16.357,52.527,51.856,49.848,50.981,152.602,0.946,0.921,0.947,0.939,59.98,132.749,47.427,141.05
968154,PM130EH,Thu Jun 27 00:37:28 CDT 2013,173936.0,208283.98,167413.0,549510.0,462101.0,455307.0,528315.0,1445691.0,538903.0,540577.0,598186.0,1659988.0,129.3,127.2,128.7,372.04,398.39,375.27002,45.399,46.995,45.641,138.035,15.825,18.921,15.575,50.321,48.077,50.661,48.224,146.918,0.944,0.928,0.946,0.94,60.03,129.84,47.022,138.18701
968154,PM130EH,Thu Jun 27 00:42:28 CDT 2013,173942.0,208288.0,167414.0,549521.0,462102.0,455309.0,528316.0,1445695.0,538906.0,540580.0,598191.0,1659999.0,129.6,127.5,129.0,331.99002,347.98,339.32,41.664,41.006,42.013,124.682,10.65,16.799,12.018,39.467,43.002,44.312,43.698,130.778,0.969,0.925,0.961,0.953,60.02,129.84,47.022,138.18701
968154,PM130EH,Thu Jun 27 00:47:28 CDT 2013,173946.0,208291.0,167417.0,549532.0,462104.0,455309.0,528318.0,1445698.0,538908.0,540584.0,598196.0,1660010.0,129.0,126.9,128.2,355.54,371.68,370.51,43.864,43.862,45.036,123.37,13.212,17.243,14.923,45.186,45.808,47.128,47.443,131.382,0.958,0.931,0.949,0.939,60.03,129.84,47.022,138.18701
